,Insulation thickness (m),Window U-value (W/m2K),Window SHGC (ratio),Shading control (W/m2),Thermostat settings offset (C),Heating energy (kWh),Cooling energy (kWh),Total energy (kWh)
169,0.001,2.4,0.68,0,2,4622.808034454746,643.2,5266.0
170,0.001,2.4,0.68,0,1,4310.912843803555,786.6,5097.6
171,0.001,2.4,0.68,0,0,4000.6977930094304,931.0,4931.7
172,0.001,2.4,0.68,0,-1,3692.8353210658265,1076.9,4769.7
173,0.001,2.4,0.68,0,-2,3389.76150716821,1214.0,4603.8
174,0.001,2.4,0.68,0,-3,3093.713634760086,1337.6,4431.3
175,0.001,2.4,0.68,200,3,4498.923212965983,999.4,5498.3
176,0.001,2.4,0.68,200,2,4195.192487268253,1192.8,5388.0
177,0.001,2.4,0.68,200,1,3892.406336272475,1390.4,5282.8
178,0.001,2.4,0.68,200,0,3591.5428610186027,1578.6,5170.1
179,0.001,2.4,0.68,200,-1,3295.714751976353,1752.2,5048.0
180,0.001,2.4,0.68,200,-2,3003.676855224025,1908.2,4911.9
181,0.001,2.4,0.68,200,-3,2719.9180311273603,2038.3,4758.3
182,0.001,2.4,0.68,400,3,4166.311305419298,1747.3,5913.7
183,0.001,2.4,0.68,400,2,3870.9093438854447,1959.3,5830.2
184,0.001,2.4,0.68,400,1,3577.7855383558167,2166.3,5744.1
185,0.001,2.4,0.68,400,0,3285.786966485548,2355.5,5641.3
186,0.001,2.4,0.68,400,-1,2999.016679352925,2519.8,5518.8
187,0.001,2.4,0.68,400,-2,2718.713538137684,2655.2,5373.9
188,0.001,2.4,0.68,400,-3,2448.789454408746,2765.8,5214.6
189,0.001,2.4,0.68,600,3,3801.2889189928246,2676.9,6478.2
190,0.001,2.4,0.68,600,2,3519.2958221892077,2881.9,6401.2
191,0.001,2.4,0.68,600,1,3239.0263909822056,3072.7,6311.8
192,0.001,2.4,0.68,600,0,2962.2932021537567,3245.6,6207.9
193,0.001,2.4,0.68,600,-1,2691.6694436655803,3394.9,6086.6
194,0.001,2.4,0.68,600,-2,2430.3521797408393,3519.0,5949.4
195,0.001,2.4,0.68,600,-3,2184.56019400459,3621.3,5805.9
196,0.001,2.4,0.68,800,3,3561.367774956154,3150.6,6712.0
197,0.001,2.4,0.68,800,2,3295.321096053889,3351.9,6647.2
198,0.001,2.4,0.68,800,1,3032.2290893498603,3540.0,6572.3
199,0.001,2.4,0.68,800,0,2770.871952023988,3709.6,6480.5
200,0.001,2.4,0.68,800,-1,2519.6389185753633,3856.0,6375.7
201,0.001,2.4,0.68,800,-2,2277.3067365245656,3977.3,6254.6
202,0.001,2.4,0.68,800,-3,2045.8841570391203,4077.2,6123.1
203,0.001,2.4,0.68,1000,3,3552.421638019623,3152.9,6705.4
204,0.001,2.4,0.68,1000,2,3287.5872143018914,3354.2,6641.8
205,0.001,2.4,0.68,1000,1,3025.5387820261813,3542.3,6567.9
206,0.001,2.4,0.68,1000,0,2765.0845266088645,3711.9,6477.0
207,0.001,2.4,0.68,1000,-1,2513.9799634417914,3858.3,6372.3
208,0.001,2.4,0.68,1000,-2,2271.72803545486,3979.6,6251.3
209,0.001,2.4,0.68,1000,-3,2040.6530656117734,4079.4,6120.0
210,0.001,2.4,0.8,0,3,4910.03215381769,537.5,5447.5
211,0.001,2.4,0.8,0,2,4598.304872009848,679.1,5277.4
212,0.001,2.4,0.8,0,1,4286.979315001172,824.1,5111.1
213,0.001,2.4,0.8,0,0,3977.292460778227,971.0,4948.3
214,0.001,2.4,0.8,0,-1,3670.057187225408,1118.1,4788.1
215,0.001,2.4,0.8,0,-2,3367.7931615670627,1257.2,4625.0
216,0.001,2.4,0.8,0,-3,3072.849665209751,1382.0,4454.8
217,0.001,2.4,0.8,200,3,4395.018486228546,1163.1,5558.2
218,0.001,2.4,0.8,200,2,4093.248024964631,1368.9,5462.1
219,0.001,2.4,0.8,200,1,3793.0851596602365,1569.8,5362.9
220,0.001,2.4,0.8,200,0,3495.506220203282,1759.9,5255.4
221,0.001,2.4,0.8,200,-1,3201.837187539564,1940.4,5142.2
222,0.001,2.4,0.8,200,-2,2912.931727993802,2095.9,5008.9
223,0.001,2.4,0.8,200,-3,2632.226988215547,2225.7,4858.0
224,0.001,2.4,0.8,400,3,4016.9609089336304,2075.3,6092.3
225,0.001,2.4,0.8,400,2,3725.62757184667,2294.0,6019.7
226,0.001,2.4,0.8,400,1,3436.1198374304636,2500.5,5936.6
227,0.001,2.4,0.8,400,0,3148.063980082107,2685.0,5833.1
228,0.001,2.4,0.8,400,-1,2866.610513868629,2841.3,5707.9
229,0.001,2.4,0.8,400,-2,2592.4866998787306,2969.2,5561.6
230,0.001,2.4,0.8,400,-3,2331.0454147736336,3076.8,5407.8
